MCU问题单号,问题描述,进展,根因,对策,车族,车型,电驱代号,管理平台,问题类别,问题解析报告,问题解析附件,车辆类型,仪表指示灯,故障DTC,故障工况,故障时刻
SW-H97a/c-L160A-030,"天津-H97d车辆充电中点亮故障灯并无法上电,BMS内报高压回路故障,MCUF报IGBT Dsat硬件ASC故障,MCU传感器供电电压故障。",,铜排打火,,H97系列,H97a/c-REV-400V,L160A-2,巨一400V,硬件|高压侧,https://hav4xarv6k.feishu.cn/docx/DzyTdNm5Hop2YTxinIxcLbpBngh,无,商品车,"电机故障红灯, 动力系统故障红灯",P161309,充电,
SW-H37A-L200A-010,旋变自检产线抛锚,问题对应版本为H37A3621830AQ,"IGBT上、下桥臂退饱和IGBT驱动欠压（V相直通炸管）
旋变自检期间请求MCU复位",,H37系列,H37A-EV-400V,L200A,智新控制400V-ID2,软件|底层,https://hav4xarv6k.feishu.cn/slides/KBL9sQC89lSqc4dBWjhcQdPUnXf,https://hav4xarv6k.feishu.cn/drive/folder/BpgVfz1QMlmDEndVdWGcCJBmnTh,商品车,"电机故障红灯, 动力系统故障红灯",P161209,车辆启动,
SW-H97a/c-L200A-074,成都H97C仪表多个故障灯点亮动力受限,,串口通讯丢失故障,,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,硬件|高压侧,https://hav4xarv6k.feishu.cn/slides/KtaDswxCPlXbjXdDbobcp3kGnMb?from=from_copylink,https://hav4xarv6k.feishu.cn/drive/folder/CkNFfbeW9lmAwkdToEGc0jIpnVc?from=from_copylink,商品车,"电机故障红灯, 动力系统故障黄灯",NA,车辆启动,
SW-H97a/c-L200A-075,武汉H97c智能补电电源故障,,逆变砖排线接触不良,单件问题，更换MCU,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,制造|工艺,https://hav4xarv6k.feishu.cn/docx/SAgJdBzqkoc9zExwMUIcyJ87nGh?from=from_copylink,https://hav4xarv6k.feishu.cn/drive/folder/VXRDfeD6ulnAs3dAXmocfenwnbV?from=from_copylink,商品车,"电机故障红灯, 动力系统故障黄灯",NA,车辆启动,
SW-H37A-L200A-011,0rpm&0Nm&393V IGBT上桥退饱和,问题对应版本为H37A3621830AQ,"W相上桥炸管
旋变自检期间请求MCU复位",,H37系列,H37A-EV-400V,L200A,智新控制400V-ID2,软件|底层,https://hav4xarv6k.feishu.cn/slides/WBK4se10DlBPdgddZFacQFwpnob,https://hav4xarv6k.feishu.cn/drive/folder/OgmIf1cWXlnZtZdI7lncu2RrnVh,商品车,"电机故障红灯, 动力系统故障红灯",P161209,车辆启动,
SW-H53A-L200A-017,1120武汉H53EV故障灯亮,,负转速下全油门起步过流,,H53系列,H53A-EV-400V,L200A,智新控制400V-ID2,软件|底层,https://hav4xarv6k.feishu.cn/docx/VOVVdGSYzoR1uvxHPEoch7J4nog,https://hav4xarv6k.feishu.cn/drive/folder/VdMufhOoUlZV0FdXwEMc9B2Snbz?from=from_copylink,商品车,"电机故障黄灯, 动力系统故障黄灯","P163A09,P0A6819",平稳驾驶,
SW-H37A-L200A-012,商品车颠簸路后全油门加速抛锚600~700rpm&420Nm&380V,,"IGBT上桥臂退饱和/逆变砖时钟信号丢失
单件制程原因，拆解检查发现50pin排线第6、7焊脚之间附着金属状异物",,H37系列,H37A-EV-400V,L200A,智新控制400V-ID2,制造|工艺,https://hav4xarv6k.feishu.cn/slides/JzZWsG646loNrmdG60jcNjzKn3b,https://hav4xarv6k.feishu.cn/drive/folder/QnB8fIlnelr4xvdD8awcLdC1nRc,商品车,"电机故障红灯, 动力系统故障红灯",P161209,激烈驾驶,
SW-H56bG-L200B-002,硬件过流,,故障时刻触发堵转，载频降低至2K，此时谐波开启，电流控制不稳报出过流,,H56系列,H56bG-EV-400V,L200B,智新科技400V-ID4,软件|应用层,https://hav4xarv6k.feishu.cn/docx/VmHGd3zPWo1tzOxUDphcvWzcnZf,https://hav4xarv6k.feishu.cn/drive/folder/RkgKfvoH9lgOAddVI5vcj4jbnfh,试验车,"电机故障红灯, 动力系统故障黄灯",P0A5F19,激烈驾驶,
SW-H37B-H170Y-001,MCU扭矩响应错误,,"1、系统表现：
VCU扭矩加载，MCU扭矩延时1s后才响应，导致MCU扭矩跟随不上VCU，整车表现状态很差，存在扭矩失控的现象。
2、具体原因：
a、智新利用新的脚本在做软件集成，该脚本生成软件未在现用项目上正确应用过，存在bug；
b、脚本对COM模块的设置周期为定步长100us，但COM模块的实际调用周期为10ms，所在在代码生成的时候，会生成一个100的计数器，目的是使COM模块的调用周期为10ms；
c、但是在实际代码中，COM函数本身就被放置在10ms中，现又对其进行100次的计数进行收发，实质上COM函数调用变成了1s，导致应用报文发送与接收都出现大幅度延迟。",,H37系列,H37B-EV-800V,H170YA,智新科技800V-ID4-异步,软件|应用层,https://hav4xarv6k.feishu.cn/slides/OtfusPykfl1oqDdqlz9cKq0znJf,https://hav4xarv6k.feishu.cn/drive/folder/JnXSfgfWLlaPVVdpxw3crRkPnJg,试验车,无,NA,平稳驾驶,
SW-H37A-L160C-001,车辆高速行驶过程中，仪表亮动力电池黄灯，车辆动力受限,,电池放电功率较小且电机转速较高时，最大可用扭矩未预留防抖扭矩导致电池过放,,H37系列,H37A-EV-400V,L160C,智新控制400V-ID2,软件|应用层,https://hav4xarv6k.feishu.cn/docx/UAfsdm9BXoKO2nxTKnpc2V76nGc?from=from_copylink,https://hav4xarv6k.feishu.cn/drive/folder/ApnSft5gHlvVDsd5v6Bcjf3pnEj?from=from_copylink,商品车,动力系统故障黄灯,NA,平稳驾驶,
